N,Operator A\b,PAQ=LU,Macierz odwrotna,PAQ=LU + operator A\b
2,9.5e-05,0.00046,5.2e-05,0.000264
3,4.5e-05,0.000353,2.2e-05,0.000104
4,0.000355,0.002538,0.000147,0.000482
5,5e-05,0.000385,2e-05,0.000119
6,6.2e-05,0.000471,2.2e-05,0.000149
7,7.4e-05,0.000606,2.3e-05,0.000163
8,7.9e-05,0.000847,2.3e-05,0.000183
9,0.000328,0.001238,4.5e-05,0.000248
10,0.000927,0.00334,9.3e-05,0.000492
11,0.000644,0.002598,6.6e-05,0.000411
12,0.000203,0.000966,2.4e-05,0.000277
13,0.002344,0.009986,0.000213,0.001057
14,0.000628,0.002909,5.6e-05,0.000472
15,0.000355,0.001594,3.3e-05,0.000363
16,0.000691,0.00321,6.5e-05,0.000633
17,0.000711,0.002708,7e-05,0.000594
18,0.000353,0.001636,3.8e-05,0.000534
19,0.000468,0.002027,3.9e-05,0.000637
20,0.000419,0.002039,3.7e-05,0.0007
21,0.000717,0.004404,4.6e-05,0.000757
22,0.000419,0.003738,3.5e-05,0.00079
23,0.000754,0.005863,5.5e-05,0.000775
24,0.000562,0.00479,4.4e-05,0.000766
25,0.0005,0.004462,4.2e-05,0.000851
26,0.000522,0.004603,4.7e-05,0.000877
27,0.000532,0.002783,4.4e-05,0.000922
28,0.002563,0.009408,0.000136,0.001496
29,0.00089,0.004142,6.1e-05,0.00112
30,0.000659,0.003444,5e-05,0.00113
31,0.000743,0.003692,5.3e-05,0.001207
32,0.000869,0.004159,5.9e-05,0.001296
33,0.001943,0.007154,0.000107,0.001859
34,0.000847,0.004151,6e-05,0.001498
35,0.001116,0.00485,7.5e-05,0.001945
36,0.001031,0.004799,6.7e-05,0.001761
37,0.001001,0.004225,6e-05,0.001716
38,0.002127,0.007852,0.000109,0.002121
39,0.001641,0.006697,0.00011,0.002054
40,0.001514,0.006464,9.4e-05,0.002124
41,0.001665,0.006754,9.7e-05,0.002226
42,0.006697,0.020412,0.000275,0.003549
43,0.003402,0.011348,0.000158,0.002838
44,0.003646,0.012605,0.000175,0.002965
45,0.001519,0.006908,9.9e-05,0.002532
46,0.002611,0.008957,0.000142,0.002878
47,0.002198,0.0078,0.000125,0.002941
48,0.003425,0.011424,0.00016,0.003368
49,0.001293,0.005872,0.000105,0.002846
50,0.001547,0.006489,0.000117,0.003027
51,0.001789,0.007033,0.000118,0.003208
52,0.00225,0.008381,0.00016,0.003468
53,0.008559,0.024049,0.000372,0.005426
54,0.001919,0.007683,0.000128,0.003568
55,0.002036,0.007964,0.00014,0.003735
56,0.001866,0.007753,0.000127,0.00387
57,0.004995,0.014869,0.000244,0.004822
58,0.007925,0.02228,0.000429,0.005763
59,0.002402,0.009079,0.000176,0.004345
60,0.005623,0.016908,0.000254,0.005354
61,0.002067,0.008368,0.00015,0.004424
62,0.002316,0.008197,0.000148,0.004525
63,0.005528,0.015748,0.000267,0.005579
64,0.004459,0.014137,0.000283,0.00566
65,0.004136,0.013264,0.000274,0.005657
66,0.008379,0.02235,0.000338,0.006938
67,0.004045,0.012777,0.000216,0.005807
68,0.002294,0.0095,0.000158,0.005505
69,0.003421,0.011832,0.000203,0.005952
70,0.003604,0.011927,0.000192,0.006174
71,0.018879,0.040893,0.000634,0.010221
72,0.003719,0.013084,0.000205,0.006562
73,0.002616,0.010606,0.000191,0.0064
74,0.034933,0.065616,0.000961,0.014129
75,0.003358,0.012256,0.000216,0.007187
76,0.003259,0.012095,0.000201,0.00721
77,0.01283,0.029318,0.000467,0.011215
78,0.00699,0.018862,0.000322,0.010029
79,0.00491,0.014179,0.000252,0.009374
80,0.023406,0.048559,0.000716,0.014531
81,0.003089,0.012953,0.000227,0.009552
82,0.007639,0.021158,0.00033,0.010918
83,0.007323,0.016871,0.000292,0.010588
84,0.005869,0.015253,0.000258,0.010545
85,0.008039,0.015,0.000264,0.010652
86,0.011077,0.025624,0.000398,0.012305
87,0.004543,0.015666,0.000288,0.011104
88,0.008956,0.01869,0.000304,0.011844
89,0.01951,0.02781,0.000435,0.012514
90,0.004179,0.016833,0.000276,0.010023
91,0.010302,0.021286,0.000376,0.011023
92,0.006435,0.018959,0.000321,0.010872
93,0.018019,0.026236,0.000457,0.012268
94,0.007985,0.021658,0.000375,0.011714
95,0.020132,0.022259,0.000394,0.012009
96,0.125999,0.019277,0.000322,0.011868
97,0.00609,0.019189,0.000344,0.011931
98,0.051354,0.020356,0.000352,0.012298
99,0.069834,0.0274,0.000483,0.013807
100,0.022091,0.022606,0.000386,0.013171
101,0.006607,0.020666,0.000455,0.013067
102,0.031233,0.023288,0.000552,0.013857
103,0.025924,0.019912,0.000513,0.015427
104,0.149041,0.11188,0.001894,0.031418
105,0.15412,0.025101,0.000662,0.016973
106,0.155756,0.048824,0.001039,0.021321
107,0.161255,0.031803,0.000638,0.018562
108,0.161159,0.030694,0.000551,0.019277
109,0.166826,0.022016,0.000431,0.017724
110,0.029633,0.02428,0.00042,0.017901
111,0.174221,0.031762,0.00062,0.020347
112,0.1717,0.032303,0.000464,0.019414
113,0.178909,0.063865,0.00086,0.024772
114,0.181761,0.033418,0.000565,0.020728
115,0.187548,0.03059,0.000565,0.020431
116,0.186884,0.034712,0.000512,0.020441
117,0.193555,0.032323,0.000514,0.020832
118,0.195364,0.042315,0.000592,0.022543
119,0.2018,0.037919,0.000581,0.022688
120,0.200466,0.051398,0.00077,0.026244
121,0.206704,0.041719,0.000755,0.024793
122,0.209365,0.041007,0.00078,0.025567
123,0.215804,0.032237,0.000631,0.022763
124,0.105477,0.029324,0.000563,0.021754
125,0.220353,0.03565,0.000697,0.025129
126,0.221008,0.030902,0.000596,0.022878
127,0.230651,0.059664,0.0011,0.091916
128,0.243721,0.035219,0.000594,0.026959
129,0.248786,0.033708,0.00068,0.026224
130,0.250575,0.075906,0.001324,0.036821
131,0.258771,0.171749,0.003081,0.064218
132,0.258635,0.220877,0.00298,0.100891
133,0.2671,0.176168,0.002596,0.102584
134,0.267842,0.053755,0.000945,0.030342
135,0.275211,0.040602,0.000746,0.031556
136,0.275795,0.051632,0.000786,0.033296
137,0.284444,0.044567,0.000746,0.031327
138,0.287179,0.05115,0.000809,0.030876
139,0.294282,0.043298,0.000735,0.028991
140,0.295123,0.043851,0.000748,0.033725
141,0.303525,0.044311,0.000767,0.030886
142,0.306124,0.042138,0.000691,0.038589
143,0.312586,0.044697,0.000769,0.034686
144,0.317415,0.051665,0.000717,0.034076
145,0.33466,0.048875,0.000744,0.033903
146,0.328137,0.053225,0.000877,0.040204
147,0.333943,0.200754,0.002332,0.124506
148,0.333609,0.045682,0.000743,0.037057
149,0.348196,0.052756,0.00079,0.036387
150,0.219446,0.112305,0.001086,0.130311
151,0.243779,0.053331,0.000812,0.133021
152,0.245091,0.04999,0.000724,0.049484
153,0.250193,0.053295,0.000812,0.039757
154,0.247037,0.052056,0.000724,0.037824
155,0.255408,0.065746,0.001,0.138348
156,0.254824,0.053753,0.000772,0.05517
157,0.261085,0.053059,0.000756,0.141205
158,0.259069,0.076562,0.001149,0.143398
159,0.26473,0.059357,0.000929,0.103501
160,0.265472,0.080117,0.000772,0.156586
161,0.271324,0.36227,0.001412,0.146012
162,0.269339,0.061435,0.000869,0.148694
163,0.278794,0.091114,0.001362,0.150559
164,0.276113,0.075656,0.000983,0.151792
165,0.280533,0.064472,0.000879,0.072855
166,0.280796,0.063314,0.000827,0.155709
167,0.288461,0.055554,0.000844,0.05208
168,0.287879,0.066141,0.000833,0.158487
169,0.289337,0.061225,0.000886,0.176962
170,0.289908,0.060765,0.000823,0.16438
171,0.296905,0.061899,0.000904,0.146349
172,0.295914,0.075961,0.000909,0.170026
173,0.302633,0.115404,0.001296,0.1725
174,0.302841,0.061186,0.000863,0.170643
175,0.310004,0.073974,0.000983,0.176733
176,0.308446,0.509976,0.001824,0.17812
177,0.314331,0.081699,0.001025,0.181317
178,0.311467,0.339604,0.001185,0.182933
179,0.320827,0.149918,0.00095,0.184454
180,0.320486,0.296543,0.000967,0.184981
181,0.329067,0.115932,0.001007,0.134682
182,0.327247,0.241937,0.001009,0.191164
183,0.35269,0.535673,0.001252,0.193262
184,0.33619,0.142646,0.001377,0.195484
185,0.340409,0.542191,0.002281,0.199328
186,0.387249,0.548045,0.001174,0.199458
187,0.393016,0.552907,0.001296,0.202973
188,0.390228,0.49594,0.001088,0.204816
189,0.396207,0.555186,0.001505,0.207719
190,0.397349,0.564801,0.001421,0.208302
191,0.405197,0.567274,0.002236,0.213601
192,0.403746,0.41507,0.001066,0.212525
193,0.414522,0.578747,0.001263,0.215973
194,0.419673,0.599705,0.001885,0.217441
195,0.428242,0.582671,0.001514,0.221473
196,0.423436,0.596002,0.001204,0.219574
197,0.433059,0.592177,0.001948,0.22538
198,0.433318,0.599153,0.001347,0.228104
199,0.439944,0.598512,0.001777,0.229936
200,0.43915,0.612089,0.001487,0.231437
201,0.448324,0.608934,0.001296,0.234601
202,0.446932,0.617978,0.002408,0.233438
203,0.457713,0.620049,0.002206,0.239804
204,0.455252,0.629759,0.001551,0.237748
205,0.463646,0.623303,0.001462,0.24332
206,0.461438,0.657554,0.001679,0.24507
207,0.471758,0.636006,0.001838,0.247414
208,0.470522,0.656556,0.001337,0.249604
209,0.492427,0.648813,0.001486,0.249701
210,0.476199,0.652828,0.001439,0.252582
211,0.490198,0.705963,0.00145,0.255188
212,0.506216,0.67211,0.00133,0.255793
213,0.553634,0.664951,0.0016,0.261246
214,0.559393,0.675176,0.001388,0.261302
215,0.568261,0.678533,0.003704,0.264849
216,0.564696,0.697448,0.003778,0.267662
217,0.580397,0.684312,0.002044,0.272028
218,0.581303,0.69048,0.001502,0.272915
219,0.587053,0.692235,0.002203,0.292198
220,0.584508,0.698208,0.001498,0.276838
221,0.591065,0.700405,0.001763,0.282699
222,0.595372,0.706049,0.002546,0.283453
223,0.60266,0.716281,0.001642,0.286518
224,0.600005,0.727814,0.00198,0.289577
225,0.612469,0.716842,0.002175,0.291923
226,0.609809,0.724588,0.001926,0.294275
227,0.618948,0.77113,0.001732,0.296643
228,0.631402,0.739668,0.001778,0.300748
229,0.625913,0.737361,0.00175,0.300725
230,0.632435,0.749852,0.003985,0.3022
231,0.640289,0.750461,0.001712,0.309005
232,0.639825,0.768352,0.001715,0.313959
233,0.647786,0.761673,0.00189,0.314122
234,0.649362,0.768676,0.00169,0.319549
235,0.662598,0.76645,0.001841,0.324375
236,0.660887,0.772999,0.001837,0.32383
237,0.669849,0.809716,0.002027,0.326745
238,0.668657,0.784843,0.001745,0.333404
239,0.678441,0.78612,0.002105,0.331702
240,0.678367,0.814995,0.002145,0.339875
241,0.690686,0.829154,0.001894,0.33955
242,0.695785,0.802977,0.001889,0.341401
243,0.706411,0.816109,0.002166,0.348364
244,0.713912,0.829788,0.007542,0.346289
245,0.714884,0.824724,0.002315,0.350796
246,0.718796,0.829555,0.00342,0.351239
247,0.73075,0.834155,0.003182,0.355745
248,0.733034,0.85393,0.00323,0.361123
249,0.741138,0.844989,0.002082,0.365525
250,0.737514,0.858509,0.002043,0.369967
251,0.750522,0.858065,0.005872,0.386548
252,0.754027,0.872567,0.002225,0.373683
253,0.765503,0.868306,0.004696,0.376549
254,0.766109,0.905569,0.002491,0.378615
255,0.773792,0.882415,0.002135,0.387162
256,0.820304,1.005658,0.009792,0.406783
257,0.810194,0.90924,0.002086,0.405437
258,0.818122,0.922261,0.003356,0.40748
259,0.817229,0.918544,0.005248,0.412126
260,0.813785,0.924095,0.002668,0.412523
261,0.826189,0.926523,0.002162,0.420863
262,0.824313,0.939703,0.002009,0.42699
263,0.839558,0.945159,0.00354,0.428916
264,0.84025,0.965119,0.002055,0.428264
265,0.853523,1.015775,0.00202,0.434028
266,0.855425,0.945693,0.0027,0.439001
267,0.869922,0.962844,0.021202,0.440629
268,0.868876,0.977974,0.002661,0.437376
269,0.885263,0.970903,0.002061,0.450331
270,0.889793,0.988077,0.002854,0.456185
271,0.915639,1.043488,0.00228,0.45978
272,0.896443,1.027482,0.00214,0.466225
273,0.915085,0.999008,0.002316,0.474701
274,0.90459,1.017505,0.002213,0.474414
